championName,totalWins,totalGamesPlayed,winRatio
Skarner,7,10,0.7000
Garen,16,25,0.6400
Veigar,55,88,0.6250
Kled,73,125,0.5840
Lissandra,43,74,0.5811
XinZhao,309,539,0.5733
Kennen,36,63,0.5714
Swain,40,70,0.5714
MasterYi,16,28,0.5714
Azir,45,79,0.5696
Talon,46,81,0.5679
KogMaw,104,184,0.5652
Nocturne,306,543,0.5635
Leblanc,109,194,0.5619
Senna,142,253,0.5613
Cassiopeia,46,82,0.5610
Alistar,121,216,0.5602
Evelynn,96,172,0.5581
Karthus,124,223,0.5561
Qiyana,95,171,0.5556
Sion,76,137,0.5547
Neeko,62,112,0.5536
Taliyah,43,78,0.5513
Urgot,70,127,0.5512
Zoe,67,122,0.5492
Ashe,49,90,0.5444
Gnar,32,59,0.5424
Vi,26,48,0.5417
Chogath,39,72,0.5417
Leona,163,301,0.5415
Volibear,103,191,0.5393
Velkoz,14,26,0.5385
Pyke,127,237,0.5359
Shaco,101,189,0.5344
Zed,127,238,0.5336
Varus,156,293,0.5324
Sejuani,33,62,0.5323
Teemo,58,109,0.5321
Ivern,42,79,0.5316
Vayne,148,279,0.5305
Camille,169,319,0.5298
Karma,287,542,0.5295
Gangplank,45,85,0.5294
Graves,73,138,0.5290
Bard,128,242,0.5289
Tristana,247,467,0.5289
Ziggs,185,351,0.5271
Nasus,49,93,0.5269
Shen,70,133,0.5263
Ahri,51,97,0.5258
Jayce,113,215,0.5256
Viego,343,657,0.5221
Shyvana,12,23,0.5217
Soraka,100,192,0.5208
Draven,191,367,0.5204
Heimerdinger,30,58,0.5172
Riven,76,147,0.5170
Fizz,33,64,0.5156
Nautilus,212,412,0.5146
Viktor,71,138,0.5145
Blitzcrank,54,105,0.5143
Kayle,42,82,0.5122
Sylas,256,500,0.5120
Yasuo,181,355,0.5099
Seraphine,82,161,0.5093
Syndra,38,75,0.5067
Kindred,160,316,0.5063
Janna,85,168,0.5060
Kassadin,87,172,0.5058
Sona,90,178,0.5056
Lucian,167,333,0.5015
Sett,231,461,0.5011
Mordekaiser,40,80,0.5000
Annie,32,64,0.5000
Lux,40,80,0.5000
Darius,37,74,0.5000
JarvanIV,22,44,0.5000
LeeSin,363,727,0.4993
Kayn,119,239,0.4979
Samira,117,235,0.4979
Yuumi,121,243,0.4979
Fiora,126,254,0.4961
Nami,58,117,0.4957
Gwen,167,338,0.4941
Renekton,84,170,0.4941
Caitlyn,116,235,0.4936
Gragas,128,260,0.4923
TahmKench,60,122,0.4918
Lulu,203,413,0.4915
Zac,85,174,0.4885
Elise,61,125,0.4880
Jinx,130,267,0.4869
Orianna,35,72,0.4861
FiddleSticks,79,163,0.4847
Galio,114,236,0.4831
Vladimir,78,162,0.4815
Singed,26,54,0.4815
MissFortune,64,133,0.4812
Maokai,51,106,0.4811
Khazix,129,269,0.4796
Thresh,254,530,0.4792
Katarina,80,167,0.4790
Morgana,44,92,0.4783
Kaisa,194,406,0.4778
Jax,91,191,0.4764
Diana,191,402,0.4751
Aphelios,147,310,0.4742
Yone,119,253,0.4704
Ezreal,388,829,0.4680
Lillia,29,62,0.4677
Jhin,112,240,0.4667
MonkeyKing,83,178,0.4663
Olaf,45,97,0.4639
Xerath,57,123,0.4634
Aatrox,74,160,0.4625
Trundle,41,89,0.4607
Kalista,123,268,0.4590
Udyr,11,24,0.4583
Irelia,72,158,0.4557
Nidalee,51,112,0.4554
Ryze,59,130,0.4538
Zilean,53,117,0.4530
Poppy,48,106,0.4528
Ekko,100,221,0.4525
Akali,250,554,0.4513
Xayah,52,116,0.4483
Braum,60,134,0.4478
Tryndamere,80,179,0.4469
Rakan,71,160,0.4438
Rumble,130,293,0.4437
Zyra,40,91,0.4396
Malphite,60,137,0.4380
Rammus,17,39,0.4359
Rengar,50,115,0.4348
Sivir,38,88,0.4318
AurelionSol,6,14,0.4286
DrMundo,56,131,0.4275
Illaoi,10,24,0.4167
Nunu,97,236,0.4110
Hecarim,103,251,0.4104
Corki,20,49,0.4082
Rell,27,67,0.4030
Pantheon,33,82,0.4024
Brand,14,35,0.4000
Malzahar,12,30,0.4000
Ornn,29,73,0.3973
Twitch,49,124,0.3952
Warwick,13,33,0.3939
RekSai,28,74,0.3784
Taric,9,24,0.3750
TwistedFate,35,94,0.3723
Yorick,20,54,0.3704
Quinn,6,17,0.3529
Anivia,13,45,0.2889
Amumu,3,11,0.2727
